id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"acan, sinan c."	1.0884	-0.0781	2	21	21	1	1	0.0845	2016	1	0.0845
2	"acar, omer"	0.758	-0.0317	11	7	7	1	15	1.25	2015	15	1.25
3	"akbulut, ozge"	-0.3643	0.9231	3	10	10	1	30	1.1475	2018	30	1.1475
4	"aksu, soner"	0.0242	-0.2693	4	8	8	1	2	0.1667	2015	2	0.1667
5	"akyol, aytekin"	-0.281	0.9357	3	10	10	1	30	1.1475	2018	30	1.1475
6	"alagna, fiammetta"	0.48	0.8656	7	13	13	1	0	0	2017	0	0
7	"alkan, can"	-0.0389	0.0244	10	168	280	42	585	41	2018.0244	13.9286	0.9762
8	"almadhoun, nour"	-0.4119	0.1788	10	4	4	1	0	0	2016	0	0
9	"alser, mohammed"	-0.6294	-0.0481	1	49	92	12	187	15.5805	2019.25	15.5833	1.2984
10	"alserr, nour almadhoun"	-0.7324	-0.458	1	17	17	1	0	1	2022	0	1
11	"amemiya, chris t."	0.3511	0.5303	9	8	8	1	16	1.4257	2017	16	1.4257
12	"amini, hajar"	0.2953	0.0703	13	4	4	1	14	0.4746	2019	14	0.4746
13	"anaclerio, fabio"	0.5654	0.7796	7	13	35	3	33	2.7887	2016.3333	11	0.9296
14	"antonacci, donato"	0.397	0.783	7	13	35	3	33	2.7887	2016.3333	11	0.9296
15	"antonacci, francesca"	0.289	0.5799	9	8	8	1	16	1.4257	2017	16	1.4257
16	"asghari, hossein"	-0.0166	-0.3784	4	6	6	1	18	1.604	2017	18	1.604
17	"ausavarungnirun, rachata"	-0.7608	-0.1553	1	15	15	1	14	1.4237	2020	14	1.4237
18	"ayday, erman"	-0.3798	0.2219	10	6	7	2	59	2.2568	2017	29.5	1.1284
19	"baird, douglas"	1.1408	0.0054	2	21	21	1	1	0.0845	2016	1	0.0845
20	"balliu, brunilda"	-0.8806	0.1263	5	16	16	1	5	2	2021	5	2
21	"bar-joseph, ziv"	-0.4604	-0.3687	1	3	3	1	13	0.4973	2018	13	0.4973
22	"baykal, pelin ıcer"	-0.9123	0.2083	5	16	16	1	5	2	2021	5	2
23	"bergamini, carlo"	0.5003	0.6979	7	13	35	3	33	2.7887	2016.3333	11	0.9296
24	"berger, bonnie"	-0.1332	-0.4472	4	5	5	1	20	0.765	2018	20	0.765
25	"bicakci, erhan"	1.0014	-0.1243	2	21	21	1	1	0.0845	2016	1	0.0845
26	"bingol, zulal"	-0.6896	-0.2762	1	24	42	4	29	3.9492	2020.75	7.25	0.9873
27	"borgoni, simone"	-0.3603	0.8795	3	10	10	1	30	1.1475	2018	30	1.1475
28	"boroumand, amirali"	-0.815	-0.1793	1	15	15	1	14	1.4237	2020	14	1.4237
29	"buyukkarakaya, ali m."	1.0357	-0.1595	2	21	21	1	1	0.0845	2016	1	0.0845
30	"caii, damla senol"	-0.4913	-0.2696	1	6	6	1	12	1.2203	2020	12	1.2203
31	"cali, damla senol"	-0.6255	-0.2865	1	27	56	6	171	9.0282	2019.8	28.5	1.5047
32	"carbone, lucia"	0.1202	-1.0587	6	14	14	1	0	1	2022	0	1
33	"cardone, maria francesca"	0.5016	0.8078	7	13	35	3	33	2.7887	2016.3333	11	0.9296
34	"catacchio, claudia rita"	0.5458	0.8378	7	13	35	3	33	2.7887	2016.3333	11	0.9296
